"Error during payment","Error during payment"
"PAYLINE - Error in refunding the payment","PAYLINE - Error in refunding the payment"
"PAYLINE - Capture error","PAYLINE - Capture error"
"PAYLINE - Error in cancelling the payment","PAYLINE - Error in cancelling the payment"
"Payline - Cash web paiement","Payline - Cash web payment"
"Payline – direct payment","Payline – direct payment"
"Payline – Nx web payment","Payline – Nx web payment"
"Initial order status","Initial order status"
"Order status when payment accepted by Payline","Order status when payment accepted by Payline"
"Order status when payment canceled by customer","Order status when payment canceled by customer"
"Order status when payment refused by Payline","Order status when payment refused by Payline"
"Merchant ID","Merchant ID"
"Access key","Access key"
"Contract number","Contract number"
"Contract number list","Contract number list"
"Template URL","Template URL"
"Custom payment page code","Custom payment page code"
"Proxy host","Proxy host"
"Proxy port","Proxy port"
"Proxy login","Proxy login"
"Proxy password","Proxy password"
"Payment action","Payment action"
"Security mode","Security mode"
"Production","Production"
"Redirection message","Redirection message"
"You'll be redirected to Payline to process your payment","You'll be redirected to Payline to process your payment"
"Month","Month"
"Year","Year"
"Name on Card","Name on Card"
"Credit Card Type","Credit Card Type"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"What is this?","What is this? "
"authorization","authorization"
"authorization + capture","authorization + capture"
"re-authorization","re-authorization"
"re-authorization + capture","re-authorization + capture"
"- none -","- none -"
"SSL","SSL"
"Mastercard contract number","Mastercard contract number"
"American Express contract number","American Express contract number"
"VISA contract number","VISA contract number"
"Wallet","Wallet"
"Payline - 1 clic payment","Payline - 1 clic payment"
"Wallet subscription","Wallet subscription"
"Wallet management","My payment method"
"One click checkout","One click checkout"
"registration CMS block id in customer account","registration CMS block id in customer account"
"registration CMS block id in catalog","registration CMS block id in catalog"
"Based on browser","Based on browser"
"Subscribe to wallet","Subscribe to wallet"
"Error during subscribtion","Error during subscribtion"
"Wallet subscription succeed","Wallet subscription succeed"
"Owner","Owner"
"Card information","Card informations"
"Expiration date (mmyy)","Expiration date (mmyy)"
"Error while retrieving wallet information","Error while retrieving wallet information"
"You can manage here your saved payment informations","You can manage here your saved payment informations"
"Update payment informations","Update payment informations"
"Disable wallet","Delete wallet"
"Your wallet has been disabled.","Your wallet has been deleted."
"Update wallet","Update wallet"
"French","French"
"English","English"
"Spanish","Spanish"
"Portuguese","Portuguese"
"Italian","Italian"
"German","German"
"Flemish","Flemish"
"Finn","Finn"
"Wallet update succeed","Wallet update succeed"
"Error during update","Error during update"
"Shipping address","Shipping address"
"Contact information","Contact information"
"Billing address","Billing address"
"Shipping address","Shipping address"
"Send wallet id for all Payline payment methods","Send wallet id for all Payline payment methods"
"Automate subscription","Automatiser l'inscription"
"Error while updating wallet","Erreur lors de la mise à jour du wallet"
"Free shipping","Livraison gratuite"
"Flat rate","Tarification unique"
"Table rates","Tarifications"
"Default shipping method","Méthodes de livraison par défaut"
"Card type","Card type"
"Number","Number"
"Exp. date","Exp. Date"
"Please wait a few seconds, we're processing your order...","Please wait a few seconds, we're processing your order..."
"The credit card of your wallet has expired.","The credit card of your wallet has expired."
"Update your wallet information","Update your wallet information"
" or process your order below."," or process your order below."
"The wallet payment method is disabled. You can process your order below.","The wallet payment method is disabled. You can process your order below."
"Contract number American Express","Contract number American Express"
"Contract number CB","Contract number CB"
"Show a custom text (CMS block) about registration to wallet in catalog","Show a custom text (CMS block) about registration to wallet in catalog"
"Each contract number has to be separated by ;","Each contract number has to be separated by ;"
"URL to a custom HTML template. Refer to Payline documentation","URL to a custom HTML template. Refer to Payline documentation"
"ID of a style defined in Payline administration tool.","ID of a style defined in Payline administration tool."
"Shipping method to use with one click checkout. Flatrate, freeshipping and Tablerates are available","Shipping method to use with one click checkout. Flatrate, freeshipping and Tablerates are available"
"Default shipping method","Default shipping method"
"Allow user to update his personal details","Allow user to update his personal details"
"Allow user to update his payment details","Allow user to update his payment details"
"Automate subscription","Automate subscription"
"A customer wallet will be created with the first payment using Payline","A customer wallet will be created with the first payment using Payline"
"If wallet id is provided, wallet payment will be available during web payment","If wallet id is provided, wallet payment will be available during web payment"
"Billing occurences","Billing occurences"
"Billing cycle","Billing cycle"
"daily","daily"
"weekly","weekly"
"monthly","monthly"
"twice a month","twice a month"
"Phone and e-mail address","Phone and e-mail address"
"1-click checkout","1-click checkout"
"Secured by Payline","Secured by Payline"
"Edit my data","Edit my data"
"You must add an address to your account to be able to checkout in one clic.","You must add an address to your account to be able to checkout in one clic."
"Manage Payline Contracts","Manage Payline Contracts"
"Manage Payline Product Categories","Manage Payline Product Categories"
"Name","Name"
"Point Of Sell","Point Of Sale"
"Primary","Primary"
"Secondary","Secondary"
"Yes","Yes"
"No","No"
"Import contracts","Import contracts"
"Contracts imported successfully. Don't forget to define primary and secondary contracts!","Contracts imported successfully. Don't forget to define primary and secondary contracts!"
"Required contract does not exist","Required contract does not exist"
"Edit contract","Edit contract"
"Save contract","Save contract"
"Contract Informations","Contract Informations"
"At leat one contract must be primary","At leat one contract must be primary"
"Nothing","Nothing"
"Change status","Change status"
"Contracts modified successfully","Contracts modified successfully"
"No costs","No costs"
"Fixed","Fixed"
"Percentage","Percentage (plus delivery)"
"Costs","Costs"
"Costs amount/percentage","Costs amount/percentage"
"Payline fees","Payline fees"
"Return options","Return options"
"Page to return when payment is refused","Page to return when payment is refused"
"Your payment is refused","Your payment is refused"
"Your payment is canceled","Your payment is canceled"
"Set","Set""The payment via Payline isn't available from the administration of your platform.","The payment via Payline isn't available from the administration of your platform."
"An error occured during the payment. Please retry later or use an other payment method.","An error occured during the payment. Please retry later or use an other payment method."
